mse,mae,rmse,r2,file
0.010328578,0.031016828,0.10162961,0.6126859,NDVI_Processed_198201.npy
0.010026912,0.030927029,0.10013447,0.6240593,NDVI_Processed_198202.npy
0.009886361,0.031403214,0.09943018,0.63765967,NDVI_Processed_198203.npy
0.011534427,0.03537213,0.10739845,0.61483335,NDVI_Processed_198204.npy
0.0172812,0.045614548,0.13145798,0.54722,NDVI_Processed_198205.npy
0.026752416,0.060173377,0.16356166,0.4697125,NDVI_Processed_198206.npy
0.032255158,0.06712678,0.17959721,0.4510376,NDVI_Processed_198207.npy
0.032854427,0.06777884,0.1812579,0.43191594,NDVI_Processed_198208.npy
0.024353096,0.057838548,0.15605478,0.49595833,NDVI_Processed_198209.npy
0.016381644,0.044825282,0.1279908,0.5662681,NDVI_Processed_198210.npy
